Animal,Circular_configuration,trial_2AC,choice
1,1,1,1
1,1,2,1
1,1,3,1
1,1,4,NA
2,1,1,1
2,1,2,0
2,1,3,1
2,1,4,1
3,1,1,0
3,1,2,1
3,1,3,0
3,1,4,0
4,1,1,0
4,1,2,0
4,1,3,NA
4,1,4,0
5,1,1,0
5,1,2,1
5,1,3,1
5,1,4,0
6,1,1,1
6,1,2,1
6,1,3,NA
6,1,4,1
7,1,1,0
7,1,2,0
7,1,3,NA
7,1,4,1
8,1,1,1
8,1,2,1
8,1,3,0
8,1,4,1
9,1,1,0
9,1,2,0
9,1,3,1
9,1,4,1
10,1,1,1
10,1,2,1
10,1,3,1
10,1,4,1
11,1,1,0
11,1,2,1
11,1,3,0
11,1,4,1
12,1,1,0
12,1,2,1
12,1,3,1
12,1,4,0
13,1,1,1
13,1,2,0
13,1,3,NA
13,1,4,1
14,1,1,0
14,1,2,1
14,1,3,1
14,1,4,1
15,1,1,0
15,1,2,0
15,1,3,0
15,1,4,1
16,1,1,1
16,1,2,0
16,1,3,1
16,1,4,0
17,1,1,1
17,1,2,0
17,1,3,1
17,1,4,0
18,1,1,0
18,1,2,0
18,1,3,1
18,1,4,1
19,0,1,0
19,0,2,0
19,0,3,0
19,0,4,0
20,0,1,1
20,0,2,1
20,0,3,1
20,0,4,0
21,0,1,1
21,0,2,0
21,0,3,1
21,0,4,0
22,0,1,0
22,0,2,1
22,0,3,0
22,0,4,0
23,0,1,1
23,0,2,NA
23,0,3,0
23,0,4,1
26,0,1,1
26,0,2,0
26,0,3,1
26,0,4,0
27,0,1,1
27,0,2,NA
27,0,3,1
27,0,4,0
28,0,1,0
28,0,2,1
28,0,3,0
28,0,4,0
29,0,1,0
29,0,2,0
29,0,3,NA
29,0,4,1
30,0,1,1
30,0,2,1
30,0,3,0
30,0,4,0
31,0,1,0
31,0,2,0
31,0,3,1
31,0,4,1
32,0,1,0
32,0,2,0
32,0,3,1
32,0,4,0
33,0,1,0
33,0,2,1
33,0,3,0
33,0,4,1
37,0,1,1
37,0,2,0
37,0,3,0
37,0,4,1
